2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
260,High Point,North Carolina,112316,104371,7.61,143.0,778,35°59′24″N 79°59′26″W,"High Point is a city located in the Piedmont Triad region of the state of North Carolina. Most of the city is located in Guilford County, with portions spilling into neighboring Randolph, Davidson, and Forsyth counties. High Point is North Carolina's only city that extends into four counties. As of the 2010 census the city had a total population of 104,371, with an estimated population of 108,629 in 2014. High Point is currently the ninth-largest municipality in North Carolina, and the 259th largest city in America.","Home Furnishings and Hosiery Capital of the World, The Point, HP, The Pocket, City of the Future, Hype Point, North Carolina's International City","Guilford, Davidson, Randolph, Forsyth",,,Jay W. Wagner,53.8 sq mi (139.3 km2),1.7 sq mi (4.3 km2),"746,593 (US: 74th)",938 ft (286 m),,UTC−5 (EST),27260-27265,336,37-31400,,www.highpointnc.gov,139.3,4.3,,286.0
261,Downey,California,112269,111772,0.44,32.1,3527,33°56′18″N 118°07′51″W,"Downey is a city located in southeast Los Angeles County, California, United States, 13 mi (21 km) southeast of downtown Los Angeles. It is considered part of the Gateway Cities. The city is the birthplace of the Apollo space program. It is also the home of the oldest still operational McDonald's restaurant in the world. As of the 2010 census, the city had a total population of 111,779.",,Los Angeles,Council-manager,,,12.41 sq mi (32.14 km2),0.16 sq mi (0.41 km2)  1.27%,,118 ft (36 m),,UTC-8 (PST),90239-90242,562,06-19766,Los Angeles International AirportLAX (major/international),www.downeyca.org,32.14,0.41,,36.0
262,Clovis,California,112022,95631,17.14,62.7,1700,36°49′42″N 119°41′06″W,"Clovis is a city in Fresno County, California, United States. The 2016 population was estimated to be 106,583. Clovis is located 6.5 miles (10.5 km) northeast of downtown Fresno, at an elevation of 361 feet (110 m).",,Fresno,Council–manager,,Bob Whalen,24.40 sq mi (63.19 km2),0.00 sq mi (0.00 km2)  0%,,361 ft (110 m),,UTC−8 (Pacific),93611-936 93619,559,06-14218,,www.ci.clovis.ca.us,63.19,0.0,,110.0
263,Pompano Beach,Florida,111954,99845,12.13,62.2,1760,26°14′30″N 80°08′02″W,"Pompano Beach /ˌpɒmpənoʊ ˈbiːtʃ/ is a city in Broward County, Florida, United States, along the coast of the Atlantic Ocean just to the north of Fort Lauderdale. The nearby Hillsboro Inlet forms part of the Atlantic Intracoastal Waterway. As of the 2010 census the city's population was 99,845, Located 35 miles north of Miami, it is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.",,Broward,Commission-Manager,,Rex Hardin,24.04 sq mi (62.26 km2),0.67 sq mi (1.74 km2)  5.54%,"5,564,635",13 ft (4 m),,UTC−5 (EST),"33060-33077, 33093, 33097","754,954",12-58050,,www.pompanobeachfl.gov,62.26,1.74,5564635.0,4.0
264,Pueblo,Colorado,111750,106595,4.84,138.8,795,38°16′12″N 104°36′44″W,"Pueblo /ˈpwɛbloʊ/ is a home rule municipality that is the county seat and the most populous city of Pueblo County, Colorado, United States. The population was 106,595 in 2010 census, making it the 267th most populous city in the United States and the 9th largest in Colorado. Pueblo is the heart of the Pueblo Metropolitan Statistical Area, totaling over 160,000 people and an important part of the Front Range Urban Corridor. As of 2014, Pueblo is the primary city of the Pueblo–Cañon City combined statistical area (CSA) totaling approximately 208,000 people, making it the 134th largest in the nation.","Home of Heroes, Steel City",Pueblo – county seat,Home Rule Municipality,Pueblo City Council,Nick Gradisar,53.59 sq mi (138.80 km2),0.79 sq mi (2.03 km2),,"4,692 ft (1,430 m)",,UTC−7 (MST),81001-81012,719,08-62000,,pueblo.us,138.8,2.03,,1430.0
265,Elgin,Illinois,111683,108188,3.23,96.9,1158,42°02′23″N 88°19′18″W,"Elgin (/ˈɛldʒɪn/ EL-jin) is a city in Cook and Kane counties in the northern part of the U.S. state of Illinois.  Located roughly 35 mi (56 km) northwest of Chicago, it lies along the Fox River. As of 2017, the city had an estimated population of 112,456, making it the eighth-largest city in Illinois.",Watch City,"Kane, Cook","Home Rule, Council-manager",,Dave Kaptain,37.45 sq mi (96.98 km2),0.49 sq mi (1.27 km2)  1.43%,,817 ft (249 m),,UTC−6 (Central),60120-60125,"331,847,224",17-23074,,cityofelgin.org,96.98,1.27,,249.0
266,Lowell,Massachusetts,111670,106519,4.84,35.2,3139,42°38′20″N 71°19′16″W,"Lowell is a city in the U.S. Commonwealth of Massachusetts. Located in Middlesex County, Lowell (along with Cambridge) was a county seat until Massachusetts disbanded county government in 1999. With an estimated population of 111,640 in 2018, it was the fourth-largest city in Massachusetts as of the last census and is estimated to be the fifth-largest as of 2018, and the second-largest in the Boston metropolitan statistical area.  The city is also part of a smaller Massachusetts statistical area called Greater Lowell, as well as New England's Merrimack Valley region.","Mill City, Spindle City, City of Lights",Middlesex,Manager-City council,,William Samaras,13.8 sq mi (35.7 km2),0.8 sq mi (2.0 km2),,102 ft (31 m),,UTC−5 (Eastern),"01850, 01851, 01852, 01853, 01854","978,-,351",25-37000,,"City of Lowell, Massachusetts",35.7,2.0,,31.0
267,Antioch,California,111535,102372,8.95,76.1,1456,37°58′45″N 121°47′46″W,"Antioch (formerly East Antioch, Smith's Landing, and Marshs Landing) is the second largest city in Contra Costa County, California, United States. Located in the East Bay region of the San Francisco Bay Area along the San Joaquin-Sacramento River Delta, it is a suburb of San Francisco and Oakland. The city's population was 102,372 at the 2010 census and estimated to be 110,542 in 2015.",,Contra Costa,,,Sean Wright,29.35 sq mi (76.01 km2),0.78 sq mi (2.01 km2)  2.52%,"7,468,390",43 ft (13 m),,UTC−8 (Pacific),"94509, 94531",925,06-02252,,www.ci.antioch.ca.us,76.01,2.01,7468390.0,13.0
268,West Palm Beach,Florida,111398,99919,11.49,142.7,758,26°44′47″N 80°07′30″W,"West Palm Beach is a city in and the county seat of Palm Beach County, Florida, United States. It is located immediately to the west of the adjacent Palm Beach, which is situated on a barrier island across the Lake Worth Lagoon. The population was 99,919 at the 2010 census. West Palm Beach is a principal city of the Miami metropolitan area, which was home to an estimated 6,158,824 people in 2017.","Orchid City, West Palm, WPB",Palm Beach,Mayor-Commission,,Keith James (D),55.13 sq mi (142.80 km2),2.56 sq mi (6.63 km2),"5,828,191 (US: 8th)",13 ft (6.4 m),,UTC−5 (EST),33401-33422,561,12-76600,,http://wpb.org,142.8,6.63,,6.4
269,Peoria,Illinois,111388,115007,-3.15,124.8,915,40°45′05″N 89°37′03″W,"Peoria (/piˈɔːriə/ pee-OR-ee-ə) is the county seat of Peoria County, Illinois, and the largest city on the Illinois River. Established in 1691 by the French explorer Henri de Tonti, Peoria is the oldest European settlement in Illinois, and is named after the Peoria tribe. As of the 2010 census, the city was the seventh-most populated in Illinois (and the third largest outside the Chicago metropolitan area), with a population of 115,007. The Peoria Metropolitan Statistical Area had a population of 373,590 in 2011. Until 2018, Peoria was the global and national headquarters for Caterpillar Inc., one of the 30 companies composing the Dow Jones Industrial Average, and listed on the Fortune 100; in the latter year, the company relocated its headquarters to Deerfield, Illinois.",,Peoria,Council-Manager,,Jim Ardis,48.23 sq mi (124.92 km2),2.22 sq mi (5.75 km2),"373,590",509 ft (155 m),,UTC−6 (CST),"  61601-61607, 61612-61615, 61625, 61629, 61630, 61633, 61634, 61636-61639, 61641, 61643, 61650-61656",309,17-59000,,www.peoriagov.org,124.92,5.75,373590.0,155.0
270,Everett,Washington,111262,103019,8.0,86.2,1264,47°57′24″N 122°11′29″W,"Everett is the county seat of and the largest city in Snohomish County, Washington, United States. It is located 25 miles (40 km) north of Seattle and is one of the main cities in the metropolitan area and Puget Sound region. Everett is the seventh-largest city in Washington state and had a total population of 103,019 at the 2010 census. The city is located at the mouth of the Snohomish River along Port Gardner Bay, an inlet of Possession Sound (itself part of Puget Sound).",,Snohomish,Mayor–council,,Cassie Franklin,33.20 sq mi (85.98 km2),14.71 sq mi (38.11 km2),"3,733,580 (US: 15th)",,,UTC−8 (PST),,425,53-22640,,everettwa.gov,85.98,38.11,,
271,Ventura,California,111128,106433,4.41,56.5,1941,34°16′04″N 119°15′15″W,"Ventura, officially the City of San Buenaventura, is the county seat of Ventura County, California, United States. The coastal site, set against undeveloped hills and flanked by two free-flowing rivers, has been inhabited for thousands of years. European explorers encountered a Chumash village, referred to as Shisholop, here while traveling along the Pacific coast. They witnessed the ocean navigation skill of the native people and their use of the abundant local resources from sea and land.(p36) The eponymous Mission San Buenaventura was founded nearby in 1782 where it benefitted from the water of the Ventura River. The town grew around the mission compound and incorporated in 1866. The development of nearby oil fields in the 1920s and the age of automobile travel created a major real estate boom during which many designated landmark buildings were constructed. The mission and these buildings are at the center of a downtown that has become a cultural, retail, and residential district and visitor destination.",,Ventura,,,Neal Andrews,21.82 sq mi (56.50 km2),10.43 sq mi (27.03 km2)  32.53%,,36 ft (11 m),,UTC−8 (Pacific),"93001-93007, 93009",805,06-65042,Oxnard Airport (OXR)commercial service,cityofventura.net,56.5,27.03,,11.0
272,Centennial,Colorado,110831,100377,10.41,76.4,1439,39°35′26″N 104°52′09″W,"Centennial is a Home Rule Municipality located in Arapahoe County, Colorado, United States.  The city population was 100,377 at the 2010 United States Census.  Centennial is a part of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area.  Centennial is the tenth most populous municipality in the state of Colorado and its 2001 city incorporation was the largest in U.S. history. Centennial is ranked as the 15th-safest city in the country.",,Arapahoe County,Home Rule Municipality,,Cathy Noon,29.55 sq mi (76.53 km2),0.15 sq mi (0.38 km2),"2,697,476 (US: 19th)","5,830 ft (1,777 m)",,UTC-7 (MST),"80015-80016, 80111-80112, 80121-80122,801 x",",303,720",08-12815,,www.centennialco.gov,76.53,0.38,,1777.0
273,Lakeland,Florida,110516,97422,13.44,170.7,624,28°03′20″N 81°57′18″W,"Lakeland is a city in Polk County, Florida, along Interstate 4 east of Tampa. The westernmost city in Polk County, it is part of the Tampa Bay Area. According to the 2013 U.S. Census Bureau estimate, the city had a population of 100,710. Lakeland is a principal city of the Lakeland–Winter Haven Metropolitan Statistical Area (coterminous with Polk County), which had an estimated population of 623,009 in July 2013 based on data from the University of Florida Bureau of Economic and Business Research. It is twinned with Richmond Hill, Ontario; Imabari, Ehime, Japan; Bălți, Moldova; Portmore, Jamaica; and Chongming County, Shanghai, China through the Lakeland chapter of Sister Cities International.","Swan City, Redbug",Polk,Commission-Manager,,Bill Mutz,65.91 sq mi (170.70 km2),9.02 sq mi (23.36 km2)  10.9%,"584,383",197 ft (60 m),,UTC-5 (EST),33801-33815,863,12-38250,,http://www.lakelandgov.net/,170.7,23.36,584383.0,60.0
274,Gresham,Oregon,110158,105594,4.32,60.3,1848,45°30′08″N 122°26′30″W,"Gresham /ˈɡrɛʃəm/ is a city located in Multnomah County, Oregon, in the United States, immediately east of Portland. Though it began as a settlement in the mid-1800s, it was not officially incorporated as a city until 1905; it was named after Walter Quinton Gresham, the American Civil War general and United States Postmaster General.",,Multnomah,,,Shane Bemis (R),23.20 sq mi (60.09 km2),0.23 sq mi (0.60 km2),"2,314,554",325[2] ft (91.7 m),,UTC−8 (Pacific),"97030, 97080, 97233","503,971",41-31250,,www.greshamoregon.gov,60.09,0.6,2314554.0,91.7
275,Richmond,California,110146,103701,6.21,78.0,1409,37°57′08″N 122°21′38″W,"Richmond (/ˈrɪtʃmənd/) is a city in western Contra Costa County, California, United States. The city was incorporated on August 7, 1905. Located in the East Bay region of the San Francisco Bay Area, Richmond borders the cities of San Pablo, Albany, El Cerrito and Pinole in addition to the unincorporated communities of North Richmond, Hasford Heights, Kensington, El Sobrante, Bayview-Montalvin Manor, Tara Hills, and East Richmond Heights, and for a short distance San Francisco on Red Rock Island in the San Francisco Bay. Richmond is one of two cities, the other being San Rafael, California, that sits on the shores of San Francisco Bay and San Pablo Bay simultaneously.",,Contra Costa,Council-Manager,"City council:Tom Butt (D) (mayor),Jovanka Beckles, Nathaniel Bates,Eduardo Martinez,Gayle McLaughlin, andJael Myrick",,30.05 sq mi (77.83 km2),22.46 sq mi (58.17 km2)  42.71%,"4,335,391",46 ft (14 m),,UTC−8 (Pacific),"94801, 94802, 94804, 94805, 94807, 94808, 94850",510,06-60620,,www.ci.richmond.ca.us,77.83,58.17,4335391.0,14.0
